date,id,text,bot_non_bot
Fri May 18 17:32:35 +0000 2018,997530401555001344,"We must teach young people how to think, not feel about political issues 

I don’t care how you “feel” about politi… https://t.co/1W0vgJHc4t",1
date,id,text,bot_non_bot
Fri May 18 16:19:34 +0000 2018,997512027370348545,"Did you know: 

1 out of 8 of ALL circuit court judges in America have been appointed by President Trump, all stron… https://t.co/IUs4tzdxHR",1
date,id,text,bot_non_bot
Fri May 18 15:14:40 +0000 2018,997495691588063232,"I never thought I would see the day where calling rapist, murderous, gang members “animals” would offend leaders of a major political party",1
date,id,text,bot_non_bot
Fri May 18 12:50:02 +0000 2018,997459292981813253,"Planned Parenthood performs 160 abortions for every adoption referral 

Zero mammograms 

Spends millions to elect… https://t.co/Wptb4hOLjk",1
date,id,text,bot_non_bot
Fri May 18 11:08:26 +0000 2018,997433728107507712,"This week the left has tried to create public sympathy for Hamas and MS-13 animals 

They hate Trump so much they h… https://t.co/RVZXOAMAXd",1
date,id,text,bot_non_bot
Fri May 18 03:16:50 +0000 2018,997315045930528770,"My great-grandparents weren’t MS-13 gang members who raped women, trafficked drugs, committed crimes, and ran child… https://t.co/2FMWohE2xA",1
date,id,text,bot_non_bot
Fri May 18 00:39:01 +0000 2018,997275329826885633,"If you believe in equal rights, then what do ‘women's rights’, ‘gay rights’, etc. mean? 

Either they are redundant… https://t.co/F2kovOeOw5",1
date,id,text,bot_non_bot
Thu May 17 23:00:09 +0000 2018,997250448854781952,"Dems 2018 platform: 

Bring back ISIS
Restart the Korean War
There are no genders 
Open borders 
Repeal 2nd amendme… https://t.co/n42hSK45G8",1
date,id,text,bot_non_bot
Thu May 17 20:21:54 +0000 2018,997210623619600384,"Yes, MS-13 members are animals 

Yes, illegals that traffic drugs are animals 

Yes, illegals that rape women are a… https://t.co/yy6PVnRzT5",1
date,id,text,bot_non_bot
Thu May 17 17:17:56 +0000 2018,997164325461741570,"The left hates conservatives 

But they especially hate black conservatives 

They are threatened by the idea of a… https://t.co/wyjdVvUYE9",1
date,id,text,bot_non_bot
Thu May 17 15:35:29 +0000 2018,997138545293787137,"Homicides each year:

496 with hammers and clubs 

323 with rifles and shotguns 

You can try and ban guns, but you cannot ban evil",1
date,id,text,bot_non_bot
Thu May 17 14:09:37 +0000 2018,997116936528986113,"If Sarah Sanders, Nikki Haley, KellyAnne Conway, Gina Haspel, and Hope Hicks were Democrats the feminist left would… https://t.co/awFKK99nRj",1
date,id,text,bot_non_bot
Thu May 17 10:52:00 +0000 2018,997067202909163520,All foreign aid should be cut to countries that burn the American flag and chant death to the US,1
date,id,text,bot_non_bot
