date,id,text, bot_non_bot
Thu Apr 26 02:46:05 +0000 2018,989334774832599040,Dealing with North Korea: Three lessons from previous summits https://t.co/Z1FbVcAEAu https://t.co/xAqgP71Qtq, 1
Thu Apr 26 02:43:47 +0000 2018,989334193959206915,Kim Kardashian and Kanye West's relationship with politics: A timeline https://t.co/vwE5NDTPjk https://t.co/MoFKlxOa25, 1
Thu Apr 26 02:42:27 +0000 2018,989333858700099585,Lawyers for President Donald Trump told a judge they are hiring a forensics firm to comb through a trove of documen… https://t.co/nWnw1Dngd1, 1
Thu Apr 26 02:40:28 +0000 2018,989333357736747008,"Can Hulu keep ""The Handmaid's Tale"" momentum going? https://t.co/8xJ6t6hlP1 https://t.co/TTcx92ixeN", 1
Thu Apr 26 02:39:36 +0000 2018,989333140232638465,"Former FBI Director James Comey recounts his own experience in college joining with others to bully a classmate, sa… https://t.co/ib80MWX0xw", 1
Thu Apr 26 02:32:31 +0000 2018,989331356814585856,Attorney General Jeff Sessions has reversed course on suspending a legal advice program for undocumented immigrants… https://t.co/BackJXCPUr, 1
Thu Apr 26 02:30:24 +0000 2018,989330824939139077,A federal judge in Washington state has issued a permanent injunction that blocks the Trump administration from sla… https://t.co/DBEQ8LViSj, 1
Thu Apr 26 02:26:17 +0000 2018,989329789512232965,"James Comey recounts his terrifying high school encounter with the ""Ramsey rapist.""

He was a senior in high school… https://t.co/pmYgt0QcVM", 1
Thu Apr 26 02:19:37 +0000 2018,989328112390496256,White House press secretary Sarah Sanders just revealed exactly how Donald Trump 'vetted' Ronny Jackson | Analysis… https://t.co/7q4ya0ta1o, 1
Thu Apr 26 02:12:01 +0000 2018,989326199213232128,"RT @CNNPolitics: “I will not ... I won’t. I never will. That’s not who I am,” James Comey says when asked if he will run for office #ComeyT…", 1
Thu Apr 26 02:10:46 +0000 2018,989325886674653184,"Former FBI Director James Comey says he hopes Republicans will take a moment to wonder: ""What will I tell my grandc… https://t.co/SYlrovxjSJ", 1
Thu Apr 26 02:06:11 +0000 2018,989324733048029186,"""I've been embarassed and ashamed by the way the Republican Party has abandoned ... the notion that character matte… https://t.co/iQU3EFRMkc", 1
Thu Apr 26 01:58:28 +0000 2018,989322790393270274,"Can Rudy Giuliani use his personal relationship with special counsel Mueller to end an investigation?

Comey: ""No.… https://t.co/cLpll6QrJt", 1
Thu Apr 26 01:51:25 +0000 2018,989321014231302150,Former FBI Director James Comey says he never wrote memos while working with former US Presidents Barack Obama and… https://t.co/BDBnBCryTB, 1
Thu Apr 26 01:48:34 +0000 2018,989320296757891072,"Former FBI Director James Comey says President Trump doesn’t have “external reference points,” adding that the Pres… https://t.co/paI1rsrq4E", 1
Thu Apr 26 01:43:12 +0000 2018,989318949065109504,"Former FBI Director James Comey says he doesn't have a nickname for President Trump: ""I call him the President of t… https://t.co/MbswAP6tOO", 1
Thu Apr 26 01:38:30 +0000 2018,989317766938284032,"RT @AC360: White House counselor Kellyanne Conway on James Comey defending the release of his memos: ""He gave memos to his friend Daniel Ri…", 1
Thu Apr 26 01:36:27 +0000 2018,989317247712808960,"""We are in conflict on many levels with the Russian government,"" former FBI Director James Comey says… https://t.co/ISYKKkMDmm", 1
Thu Apr 26 01:31:41 +0000 2018,989316050268258305,"James Comey recounts his terrifying high school encounter with the ""Ramsey rapist.""

He was a senior in high school… https://t.co/FLnBd0uxVz", 1
Thu Apr 26 01:11:29 +0000 2018,989310964070862848,"RT @CNNPolitics: James Comey says he doesn’t believe Donald Trump is “morally fit” to be commander-in-chief.
Watch the #ComeyTownHall live:…", 1
Thu Apr 26 01:08:32 +0000 2018,989310222182289411,Former FBI Director James Comey on considering a possible Hillary Clinton election win in his decision to announce… https://t.co/qS6e1MvSMN, 1
Thu Apr 26 00:58:50 +0000 2018,989307781420339201,"RT @AC360: “There’s no deep state, but there is a deep culture and a commitment to the rule of law,” James Comey says when asked about his…", 1
Thu Apr 26 00:57:37 +0000 2018,989307475865362433,"Former FBI Director James Comey says he didn't vote in the 2016 election, but ""Hillary Clinton is more enmeshed in,… https://t.co/pJPZUhzaLe", 1
Thu Apr 26 00:52:05 +0000 2018,989306082181992448,"Former FBI Director James Comey: ""I hear this term 'deep state' all the time. There's no deep state, but there is a… https://t.co/EsMZIvmqTT", 1
Thu Apr 26 00:33:18 +0000 2018,989301357772443648,Former FBI Director James Comey rebuts President Trump's claim that releasing memos about their conversations was i… https://t.co/Tb4trAgNC2, 1
Thu Apr 26 00:30:08 +0000 2018,989300559537672192,"Former FBI Director James Comey on releasing his memos: ""The bottom line is, I see no credible claim by any serious… https://t.co/eD44iWarw7", 1
Thu Apr 26 00:15:00 +0000 2018,989296752032468992,"Former FBI Director James Comey on President Donald Trump: ""I don't believe he's morally fit to be President of the… https://t.co/qf4D7JD5pF", 1
Thu Apr 26 00:12:03 +0000 2018,989296008189366272,"Former FBI Director James Comey: ""I don't believe he's morally fit to be President of the United States""… https://t.co/owgdcnYthz", 1
Wed Apr 25 23:59:07 +0000 2018,989292754848100352,Happening now: Former FBI Director James Comey faces questions from a live audience at a town hall hosted by… https://t.co/nVO8wh0z4m, 1
Wed Apr 25 23:38:14 +0000 2018,989287500089909248,"JUST IN: Rudy Giuliani, newly added to President Donald Trump's legal team, met this week with the special counsel… https://t.co/CqGcBVaL3h", 1
Wed Apr 25 23:17:35 +0000 2018,989282304156725256,"Crime writer Michelle McNamara vowed to find the Golden State Killer. Two years after her death, fans credit her wi… https://t.co/66qKfTNOV5", 1
Wed Apr 25 23:15:04 +0000 2018,989281671013859330,Five African American women say a golf course in Pennsylvania called the cops on them because they were golfing too… https://t.co/1SX5uNh0Tx, 1
Wed Apr 25 23:12:38 +0000 2018,989281057089511426,We're with CNN's Anderson Cooper ahead of tonight's 8 p.m. Town Hall with former FBI Director James Comey. Watch on… https://t.co/42EuRaFlYA, 1
Wed Apr 25 23:06:22 +0000 2018,989279478286311424,"Fast food sandwich chain Subway expects to close about 500 stores in North America this year.

But it's also hoping… https://t.co/o6wepl5mDP", 1
Wed Apr 25 22:55:45 +0000 2018,989276807877701633,President Trump's personal attorney Michael Cohen tells court he will plead the fifth in the Stormy Daniels case… https://t.co/KFYJFqLuzh, 1
