date,id,text,bot_non_bot
Fri May 18 17:17:29 +0000 2018,997526603084185600,@brianoflondon Good point,1
date,id,text,bot_non_bot
Fri May 18 17:13:49 +0000 2018,997525676755316736,Failed?! Saddam Hussein might disagree with that assessment https://t.co/DggjUg2gDe,1
date,id,text,bot_non_bot
Fri May 18 17:13:07 +0000 2018,997525503400493058,"I trust John Bolton 100% — He’s taken down Nuclear Threats like Kim Jong Un before, and he’ll do it again!",1
date,id,text,bot_non_bot
Fri May 18 17:12:22 +0000 2018,997525313646022656,Bolton also followed up the denuclearization of Libya by shutting down the AQ Khan Network (where they bought most… https://t.co/e1VDeOv03g,1
date,id,text,bot_non_bot
Fri May 18 17:10:18 +0000 2018,997524792185008129,"When John Bolton and President Bush successfully do nuclearized Libya, they found that Libya had far more nuclear w… https://t.co/Wbm5MEjF6Z",1
date,id,text,bot_non_bot
Fri May 18 17:09:06 +0000 2018,997524491419856896,"RT @JacobAWohl: John Bolton clearly said “2003-2004 Libya Model”, CLEARLY citing the successful denuclearization of Libya that he and Presi…",1
date,id,text,bot_non_bot
Fri May 18 17:09:01 +0000 2018,997524470943268865,"RT @JacobAWohl: @realDonaldTrump HIS NAME WAS STEFAN HALPER!  Federal Records show that Obama paid the Spy more than $282,000 of TAXPAYER m…",1
date,id,text,bot_non_bot
Fri May 18 17:07:45 +0000 2018,997524153136701441,"John Bolton clearly said “2003-2004 Libya Model”, CLEARLY citing the successful denuclearization of Libya that he a… https://t.co/ywjkYITahy",1
date,id,text,bot_non_bot
Fri May 18 14:55:57 +0000 2018,997490984190558208,"RT @JacobAWohl: NEW! ""Unabashed Moral Turpitude is Behind the Left's Support of Hamas"" https://t.co/k5Y4PH38Gz",1
date,id,text,bot_non_bot
Fri May 18 14:55:23 +0000 2018,997490839629611008,RT @maggieNYT: Context on this - Trump has been asking people about firing Rosenstein. His allies believe the effort to force information a…,1
date,id,text,bot_non_bot
Fri May 18 14:55:01 +0000 2018,997490749200515073,RT @IsraeliPM: We are defending our families. And you would do exactly the same. https://t.co/pMJsiV4AgT,1
date,id,text,bot_non_bot
Fri May 18 14:50:52 +0000 2018,997489704214740993,RT @JacobAWohl: @jimsciutto @ShimonPro @LauraAJarrett His name is Stefan Halper,1
date,id,text,bot_non_bot
Fri May 18 14:48:08 +0000 2018,997489017259048960,@jimsciutto @ShimonPro @LauraAJarrett His name is Stefan Halper,1
date,id,text,bot_non_bot
Fri May 18 14:42:56 +0000 2018,997487708174864385,"People who illegally invade America ARE NOT 'Immigrants', they're criminal aliens https://t.co/RjrdMtw08m",1
date,id,text,bot_non_bot
Fri May 18 14:40:10 +0000 2018,997487011035467776,Liberals defending MS13 this week https://t.co/2i1f8ddJxH,1
date,id,text,bot_non_bot
Fri May 18 14:37:55 +0000 2018,997486444137431041,When liberal women who look like they're in their 40's talk like they're in their mid-teens... https://t.co/VD2rVkTs4p,1
date,id,text,bot_non_bot
Fri May 18 14:29:15 +0000 2018,997484265506930689,The IG Report is going to rock the deep state to its very core,1
date,id,text,bot_non_bot
Fri May 18 14:28:41 +0000 2018,997484123143921665,RT @ArthurSchwartz: Why today? You expecting a bad IG report? https://t.co/qg02FwiqLN,1
date,id,text,bot_non_bot
Fri May 18 14:26:43 +0000 2018,997483624558555136,"The Hamas Charter reads “‘The Day of Judgment will not come about until Moslems fight Jews and kill them. Then, the… https://t.co/GP37sTXfA4",1
date,id,text,bot_non_bot
Fri May 18 13:57:37 +0000 2018,997476301479936000,Iranian missile systems were successfully vaporized by an Israeli Air Force strike early this morning https://t.co/FPieCEjX5B,1
date,id,text,bot_non_bot
Fri May 18 13:54:28 +0000 2018,997475509867982848,"RT @realDonaldTrump: Reports are there was indeed at least one FBI representative implanted, for political purposes, into my campaign for p…",1
date,id,text,bot_non_bot
Fri May 18 13:53:35 +0000 2018,997475288391938049,"@realDonaldTrump These Deep State crooks should have been indicted a long time ago! Unfortunately, Jeff Sessions is asleep at the wheel",1
date,id,text,bot_non_bot
Fri May 18 13:52:57 +0000 2018,997475128282775552,@realDonaldTrump WHERE IS JEFF SESSIONS?,1
date,id,text,bot_non_bot
Fri May 18 13:52:44 +0000 2018,997475075912646658,@realDonaldTrump Never in history has one candidate (Hillary) paid the FBI to spy on another (Trump),1
date,id,text,bot_non_bot
Fri May 18 13:52:18 +0000 2018,997474963958333441,@realDonaldTrump 100% of the American People want to see these crooks brought to justice! https://t.co/BaGGx0ZTkg,1
date,id,text,bot_non_bot
Fri May 18 13:51:48 +0000 2018,997474841040117761,"@realDonaldTrump HIS NAME WAS STEFAN HALPER!  Federal Records show that Obama paid the Spy more than $282,000 of TA… https://t.co/sZsuY2JEcP",1
date,id,text,bot_non_bot
Fri May 18 13:47:02 +0000 2018,997473637954306054,"NEW PODCAST: Talking IG Report, North Korea, Crypto and Hamas with @TraderOfFutures — Check it out! https://t.co/MH2pWnMq6f",1
date,id,text,bot_non_bot
Fri May 18 13:42:48 +0000 2018,997472572240375809,"@realDonaldTrump NEW! Unabashed Moral Turpitude is Behind the Left’s Support of Hamas
https://t.co/dauVDGanch",1
date,id,text,bot_non_bot
Fri May 18 13:42:28 +0000 2018,997472491428659200,RT @JacobAWohl: @realDonaldTrump It's time to LOCK UP McCabe and Comey! https://t.co/KcOD4KmrWu,1
date,id,text,bot_non_bot
Fri May 18 13:42:23 +0000 2018,997472468401967105,RT @JacobAWohl: @realDonaldTrump Hillary bought-off the FBI to prevent being prosecuted! https://t.co/QpbKg6Ccu0,1
date,id,text,bot_non_bot
Fri May 18 13:42:22 +0000 2018,997472463373025280,RT @JacobAWohl: @realDonaldTrump Hillary Clinton was right about one thing... https://t.co/A4yV8H2jcN,1
date,id,text,bot_non_bot
Fri May 18 13:42:17 +0000 2018,997472445761175554,RT @JacobAWohl: @realDonaldTrump Dirty Cop Robert Mueller hasn't bothered to even look into the hundreds of felonies committed by Crooked H…,1
date,id,text,bot_non_bot
Fri May 18 13:42:15 +0000 2018,997472436588183552,"RT @JacobAWohl: @realDonaldTrump The American People are ready to see Hillary Clinton, Robert Mueller, James Comey, Andrew McCabe, Stefan H…",1
date,id,text,bot_non_bot
Fri May 18 13:42:11 +0000 2018,997472419609628673,"@realDonaldTrump The American People are ready to see Hillary Clinton, Robert Mueller, James Comey, Andrew McCabe,… https://t.co/rwXNWACcFb",1
date,id,text,bot_non_bot
Fri May 18 13:41:07 +0000 2018,997472149475442693,@realDonaldTrump Dirty Cop Robert Mueller hasn't bothered to even look into the hundreds of felonies committed by C… https://t.co/1iH0mkC4G5,1
date,id,text,bot_non_bot
Fri May 18 13:40:31 +0000 2018,997472001085161472,@realDonaldTrump Hillary Clinton was right about one thing... https://t.co/A4yV8H2jcN,1
date,id,text,bot_non_bot
Fri May 18 13:39:59 +0000 2018,997471863373615104,@realDonaldTrump Hillary bought-off the FBI to prevent being prosecuted! https://t.co/QpbKg6Ccu0,1
date,id,text,bot_non_bot
Fri May 18 13:39:24 +0000 2018,997471719966236674,@realDonaldTrump It's time to LOCK UP McCabe and Comey! https://t.co/KcOD4KmrWu,1
date,id,text,bot_non_bot
Fri May 18 13:34:14 +0000 2018,997470416334536705,"NEW! ""Unabashed Moral Turpitude is Behind the Left's Support of Hamas"" https://t.co/k5Y4PH38Gz",1
date,id,text,bot_non_bot
Fri May 18 13:00:00 +0000 2018,997461805088690177,A storm is coming https://t.co/orS2HMcrvV,1
date,id,text,bot_non_bot
Fri May 18 12:53:30 +0000 2018,997460166705479680,"Joe DiGenova: John Brennan ""Needs Very Good Lawyer"", ""He's Going To Be In Front Of A Grand Jury Shortly""",1
date,id,text,bot_non_bot
Fri May 18 04:01:14 +0000 2018,997326216393715713,RT @ThomasWictor: (5) She works for George Soros. https://t.co/oKiaiLXwGY,1
date,id,text,bot_non_bot
Fri May 18 02:22:10 +0000 2018,997301287866720256,"RT @Education4Libs: Obama's plan to build a 12-story museum &amp; library dedicated to his presidency has been approved.

So let me ask....

As…",1
date,id,text,bot_non_bot
Fri May 18 01:37:22 +0000 2018,997290011878834176,Being a socialist senator pays well apparently https://t.co/YhdI7VkoKM,1
date,id,text,bot_non_bot
Fri May 18 01:09:18 +0000 2018,997282947844591616,"RT @JacobAWohl: BREAKING: IG Horowitz Finds FBI, DOJ Broke Law In Clinton Probe, Refers To Prosecutor For Criminal Charges",1
date,id,text,bot_non_bot
Thu May 17 22:49:37 +0000 2018,997247798620839936,It looks like Hillary was right about one thing... https://t.co/zdszOjDjjr,1
date,id,text,bot_non_bot
Thu May 17 22:46:53 +0000 2018,997247110301892609,The PR fall-out of the IG Report and soon-to-come indictments are likely terminal for the Mueller Investigation,1
date,id,text,bot_non_bot
Thu May 17 22:45:59 +0000 2018,997246881121034240,"Now that the IG Report has been completed, Peter Strzok, Lisa Page and Sally Yates are LEAKING TONS OF DISINFO (mai… https://t.co/U4XbHgWufX",1
date,id,text,bot_non_bot
Thu May 17 22:44:30 +0000 2018,997246509379764230,The IG Found that Jim Comey and Sally Yates started working to FRAME General Flynn more than 1 YEAR before Flynn ul… https://t.co/YcOBBS6cLp,1
date,id,text,bot_non_bot
Thu May 17 22:38:40 +0000 2018,997245042237440000,"BREAKING: IG Horowitz Finds FBI, DOJ Broke Law In Clinton Probe, Refers To Prosecutor For Criminal Charges",1
date,id,text,bot_non_bot
Thu May 17 22:31:35 +0000 2018,997243259700183040,What would you rather accept?,1
date,id,text,bot_non_bot
Thu May 17 22:28:38 +0000 2018,997242516414976001,Mueller has agreed to narrow the scope of his questions in his bid to interview President Trump,1
date,id,text,bot_non_bot
Thu May 17 21:18:30 +0000 2018,997224867618410496,"MSM Liars: ""Rudy Giuliani hasn't tried a case in 25 years""

Reality: Rudy just tried a case last week in Broward Co… https://t.co/1ItZQqSmEO",1
date,id,text,bot_non_bot
Thu May 17 20:31:56 +0000 2018,997213149165109248,"RT @SecOfState70: How does Operation ""Lock em Up"" sound?

It's starting!",1
date,id,text,bot_non_bot
Thu May 17 20:13:01 +0000 2018,997208385643728896,North Korea has still never said that they will give up nuclear weapons,1
date,id,text,bot_non_bot
Thu May 17 19:05:07 +0000 2018,997191299991138304,RT @paulsperry_: The media elite are now forever part of the Deep State. They are complicit in the cover-up of political espionage by the i…,1
date,id,text,bot_non_bot
Thu May 17 18:22:44 +0000 2018,997180634031210496,"BREAKING: President Trump says US will pursue ""Libya Model"" if Kim Jong Un doesn't make a deal, or lies to America",1
date,id,text,bot_non_bot
Thu May 17 18:17:19 +0000 2018,997179269225709568,"RT @paulsperry_: As the IG prepares to release his next report, Sally Yates is suddenly animated &amp; agitated. She is tweet-storming against…",1
date,id,text,bot_non_bot
Thu May 17 18:16:59 +0000 2018,997179187604549632,"RT @freedom_moates: BREAKING: @RealDonaldTrump says if North Korea's Kim Jong Un denuclearizes, then `he'll get protections that would be v…",1
date,id,text,bot_non_bot
Thu May 17 18:06:59 +0000 2018,997176669394780160,RT @BigyWinning: @JacobAWohl The failing New York Times is the most evil disgusting fake news organization out there! Not only do they defe…,1
date,id,text,bot_non_bot
Thu May 17 18:06:25 +0000 2018,997176527837061120,"""Why is nothing expected of Palestinians, and everything forgiven, while everything is expected of Israelis, and no… https://t.co/zWQYTUqvFA",1
date,id,text,bot_non_bot
Thu May 17 18:04:07 +0000 2018,997175950558167040,"Palestinian Plan: Avow and pursue Israel’s destruction, then plead for pity from the media and aid from the interna… https://t.co/131Yhnec3G",1
date,id,text,bot_non_bot
Thu May 17 18:02:39 +0000 2018,997175578829574150,Now the New York Times is in the business of offering Op-Ed space to Hamas terrorists to gloat about heir operation… https://t.co/JxafhVmsE2,1
date,id,text,bot_non_bot
Thu May 17 17:55:14 +0000 2018,997173713358352384,RT @JacobAWohl: Mueller plans to follow DOJ Rules that say he CANNOT INDICT THE PRESIDENT — But Fake News networks are busy repeating the L…,1
date,id,text,bot_non_bot
Thu May 17 17:35:16 +0000 2018,997168687764271104,Ukraine’s dolphin army in ‘patriotic hunger strike’ after Russian capture https://t.co/lYXCgAsKhC,1
date,id,text,bot_non_bot
Thu May 17 17:19:12 +0000 2018,997164646208491521,Michael Avenatti being investigated by California State Bar https://t.co/V2ipYeQIM2,1
date,id,text,bot_non_bot
Thu May 17 17:18:32 +0000 2018,997164477026942976,"Michael Avenatti, Don Lemon and the rest of the Democrat Party Operatives in charge of CNN's disinformation operati… https://t.co/2fwfdBwZRT",1
date,id,text,bot_non_bot
Thu May 17 16:41:48 +0000 2018,997155231505965056,Jim Comey's new law firm https://t.co/XrvtYpOTc7,1
date,id,text,bot_non_bot
Thu May 17 16:37:29 +0000 2018,997154146632450048,Mueller plans to follow DOJ Rules that say he CANNOT INDICT THE PRESIDENT — But Fake News networks are busy repeati… https://t.co/1WcFauIg2M,1
date,id,text,bot_non_bot
Thu May 17 16:35:58 +0000 2018,997153766905278464,RT @ArthurSchwartz: Didn’t you hire the Awan brothers? https://t.co/r8ZAHnJahQ,1
date,id,text,bot_non_bot
Thu May 17 16:35:46 +0000 2018,997153713587347456,RT @Cernovich: Did you ever think the media would be defending Hamas and MS-13 in the same week?,1
date,id,text,bot_non_bot
Thu May 17 16:35:37 +0000 2018,997153678753644546,👀 https://t.co/lkwFjq8E9u,1
date,id,text,bot_non_bot
Thu May 17 16:35:01 +0000 2018,997153524701057024,RT @SecOfState70: Currently scrolling through Rolling Stones lyrics to name our next spying op. Any requests?,1
date,id,text,bot_non_bot
Thu May 17 15:38:46 +0000 2018,997139368644034561,"I have a problem with President Trump calling MS-13 ""Animals"" — It's an insult to Animals, who never run child traf… https://t.co/b6aSdCOZRe",1
date,id,text,bot_non_bot
Thu May 17 15:35:58 +0000 2018,997138666777538561,Giuliani Puts the Corrupt Mueller Team on Notice: “We’re Ready to Rip Them Apart if that’s What They Want!”,1
date,id,text,bot_non_bot
Thu May 17 15:32:28 +0000 2018,997137784480579584,"I'm working to confirm rumors that several DOJ/FBI Officials have tendered resignation, effective at the end of thi… https://t.co/PJTCbTgr5p",1
date,id,text,bot_non_bot
Thu May 17 15:30:17 +0000 2018,997137236201164800,"RT @JacobAWohl: @realDonaldTrump President Trump, unlike Obama, cares more about our veterans than he does the well-being of Islamic terror…",1
date,id,text,bot_non_bot
Thu May 17 15:30:11 +0000 2018,997137209189810176,"RT @JacobAWohl: @realDonaldTrump Under Obama, members of our military were treated like second-class citizens",1
date,id,text,bot_non_bot
